ID,FunEngagementChoice,FrustratingChoice,ChallengingChoice,OverallChoice,Gender,Age,RegularGamePlay,PlatformerGamePlay,GWAPPlay,MultiplayerCondition,SinglePlayerFirst,NaturalPair,Collusion,SingleFunEngagementRank,MultiFunEngagementRank,SingleFrustratingRank,MultiFrustratingRank,SingleChallengingRank,MultiChallengingRank,SingleOverallRank,MultiOverallRank,SingleplayerFunEngagement,SingleplayerFrustrating,SingleplayerChallenging,SingleplayerFunEngagementChoice,SingleplayerFrustratingChoice,SingleplayerChallengingChoice,MultiplayerFunEngagement,MultiplayerFrustrating,MultiplayerChallenging,PartnerEngaging,PartnerDistracting,PartnerCollaborating,PartnerCompeting,MultiplayerFunEngagementChoice,MultiplayerFrustratingChoice,MultiplayerChallengingChoice,SinglePlayerTasks,SinglePlayerAccuracyIntended,SinglePlayerAccuracyPossible,SinglePlayerDeaths,SingleTasksPerAttempt,SingleTaskTotalTime,MultiPlayerTasks,MultiPlayerAccuracyIntended,MultiPlayerAccuracyPossible,MultiPlayerDeaths,MultiPlayerDeathsTasksPerAttempt,MultiPlayerTaskTotalTime,OverallAccuracyIntended,OverallAccuracyPossible,OverallTime
1007,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,No,Yes,No,1,TRUE,FALSE,TRUE,2,1,2,1,2,1,2,1,1,1,1,1,1,1,3,3,3,0,0,0,0,2,2,2,18.0,0.5555555555555556,0.5555555555555556,3.0,6.0,118.0,14.0,0.9285714285714286,0.9285714285714286,8.0,1.75,363.0,0.71875,0.71875,481.0
2007,Multiplayer,Multiplayer,Multiplayer,Single player,Female,18-24,No,N/A,No,1,TRUE,FALSE,TRUE,2,1,2,1,2,1,1,2,4,3,4,1,2,2,4,4,4,2,0,2,-1,1,2,2,27.0,0.6296296296296297,0.8148148148148148,6.0,4.5,240.0,18.0,0.5,0.8333333333333334,8.0,2.25,363.0,0.5777777777777777,0.8222222222222222,603.0
1008,Single player,Multiplayer,Multiplayer,Single player,Female,18-24,No,Yes,Yes,1,FALSE,FALSE,FALSE,1,2,2,1,2,1,1,2,4,2,2,1,2,2,4,2,2,1,-1,1,1,1,2,2,14.0,0.7857142857142857,0.7857142857142857,2.0,7.0,120.0,16.0,0.6875,0.6875,5.0,3.2,183.0,0.7333333333333333,0.7333333333333333,303.0
2008,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,Yes,Yes,Yes,1,FALSE,FALSE,FALSE,1,2,2,1,2,1,1,2,4,2,2,1,1,1,4,4,3,-1,1,-2,-2,2,2,2,21.0,0.8095238095238095,1.0,4.0,5.25,0.0,7.0,170.0,0.42857142857142855,5.0,1.4,183.0,0.6071428571428571,0.8571428571428571,353.0
1009,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,No,No,2,TRUE,TRUE,FALSE,2,1,2,1,2,1,2,1,3,2,3,1,1,1,5,3,3,1,-1,1,1,1,2,2,21.0,0.8571428571428571,0.8571428571428571,5.0,4.2,180.0,19.0,0.7368421052631579,0.7368421052631579,7.0,2.7142857142857144,318.0,0.8,0.8,498.0
2009,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,2,TRUE,TRUE,FALSE,2,1,2,1,2,1,2,1,4,3,3,2,1,1,5,4,4,2,-2,2,-1,2,2,2,5.0,0.8,1.0,5.0,1.0,259.0,24.0,0.7083333333333334,0.9166666666666666,7.0,3.4285714285714284,318.0,0.7241379310344828,0.9310344827586207,577.0
1010,Single player,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,Yes,1,TRUE,TRUE,FALSE,1,2,2,1,2,1,2,1,4,2,4,1,2,2,4,4,4,1,0,1,-1,2,1,2,27.0,0.6296296296296297,0.6296296296296297,5.0,5.4,233.0,12.0,0.5833333333333334,0.5833333333333334,4.0,3.0,274.0,0.6153846153846154,0.6153846153846154,507.0
2010,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,Yes,Yes,Yes,1,TRUE,TRUE,FALSE,1,2,2,1,2,1,1,2,5,3,2,2,1,2,4,2,2,0,-1,0,0,1,2,1,20.0,0.2,0.25,5.0,4.0,420.0,11.0,0.5454545454545454,0.5454545454545454,4.0,2.75,274.0,0.3225806451612903,0.3548387096774194,694.0
2011,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,25-30,No,Yes,Yes,2,TRUE,FALSE,TRUE,2,1,2,1,2,1,2,1,3,4,3,2,2,2,3,4,4,1,0,1,-2,1,2,2,42.0,0.5952380952380952,0.7380952380952381,6.0,7.0,277.0,12.0,0.4166666666666667,0.5833333333333334,5.0,2.4,407.0,0.5555555555555556,0.7037037037037037,684.0
1011,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,No,Yes,Yes,2,TRUE,FALSE,TRUE,2,1,2,1,2,1,2,1,4,3,4,2,2,2,4,3,4,1,-1,1,-1,2,1,1,35.0,0.7428571428571429,0.7428571428571429,8.0,4.375,573.0,21.0,0.8095238095238095,0.8095238095238095,5.0,4.2,407.0,0.7678571428571429,0.7678571428571429,980.0
1012,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,Yes,Yes,No,1,FALSE,FALSE,TRUE,1,2,2,1,2,1,1,2,4,2,2,1,2,1,4,3,3,1,-1,-1,1,2,2,2,17.0,0.9411764705882353,0.9411764705882353,4.0,4.25,294.0,16.0,0.75,0.75,6.0,2.6666666666666665,459.0,0.8484848484848485,0.8484848484848485,753.0
