Event,Time
LittleStateStart,0
StartLevel,0
BlockCoinDestroy,47
RunStateStart,52
RightMoveStart,53
RunStateEnd,55
JumpStart,68
JumpEnd,84
BlockPowerDestroy,99
RunStateStart,124
RunStateEnd,128
RunStateStart,131
RunStateEnd,134
RightMoveEnd,138
LeftMoveStart,140
JumpStart,145
RunStateStart,150
RunStateEnd,152
JumpEnd,153
BlockCoinDestroy,163
RunStateStart,163
LeftMoveStart,171
StompKillGreenKoopa,176
JumpStart,177
JumpEnd,186
RightMoveStart,187
UnleashShell,193
ShellKillGoomba,196
JumpStart,202
BlockPowerDestroy,209
LeftMoveEnd,209
RightMoveEnd,209
JumpEnd,212
RightMoveStart,219
JumpStart,224
BlockCoinDestroy,226
JumpEnd,232
RightMoveStart,236
JumpStart,244
LargeStateStart,246
LittleStateEnd,246
RightMoveEnd,252
JumpEnd,276
StompKillGreenKoopa,277
JumpStart,286
BlockPowerDestroy,290
JumpEnd,306
LeftMoveEnd,315
RightMoveEnd,317
LeftMoveEnd,319
LeftMoveStart,320
UnleashShell,321
RightMoveEnd,338
RunStateEnd,338
LargeStateEnd,343
LittleStateStart,343
ShellKillGoomba,350
RightMoveStart,364
RunStateStart,377
BlockCoinDestroy,391
JumpStart,406
JumpEnd,414
RunStateEnd,423
LeftMoveStart,431
RunStateStart,442
JumpStart,452
RightMoveStart,460
JumpEnd,462
BlockPowerDestroy,465
LeftMoveStart,477
JumpStart,479
JumpEnd,488
RightMoveStart,490
JumpStart,496
LargeStateStart,499
LittleStateEnd,499
LeftMoveEnd,512
LeftMoveEnd,531
JumpEnd,532
LeftMoveEnd,558
RightMoveEnd,558
RightMoveEnd,565
JumpStart,568
JumpEnd,574
JumpStart,578
JumpEnd,584
JumpStart,591
JumpEnd,600
JumpStart,625
JumpEnd,633
JumpStart,649
RightMoveStart,652
JumpEnd,663
RightMoveEnd,666
JumpStart,680
RunStateEnd,688
RightMoveStart,693
JumpEnd,694
RightMoveStart,695
RightMoveEnd,698
RunStateStart,699
JumpStart,702
RunStateEnd,707
RightMoveStart,713
JumpEnd,715
RightMoveStart,715
JumpStart,718
RightMoveEnd,718
RunStateStart,721
RightMoveStart,723
RunStateEnd,725
JumpEnd,730
RightMoveEnd,732
CollectCoin,733
CollectCoin,734
RightMoveEnd,735
RunStateStart,737
RightMoveStart,738
JumpStart,739
RightMoveEnd,745
JumpEnd,757
CollectCoin,760
CollectCoin,762
CollectCoin,763
BlockCoinDestroy,782
BlockCoinDestroy,794
JumpStart,798
RightMoveEnd,800
JumpEnd,804
BlockCoinDestroy,809
JumpStart,810
JumpEnd,816
RightMoveStart,818
RightMoveEnd,824
JumpStart,825
BlockCoinDestroy,830
JumpEnd,831
BlockCoinDestroy,842
JumpStart,842
JumpEnd,851
JumpStart,866
BlockCoinDestroy,870
JumpEnd,882
JumpStart,884
JumpEnd,900
JumpStart,902
RightMoveStart,910
JumpEnd,912
JumpStart,940
RunStateEnd,950
JumpEnd,956
LeftMoveStart,962
RunStateStart,971
JumpStart,973
RightMoveEnd,975
LargeStateEnd,977
LittleStateStart,977
BlockCoinDestroyBulletBill,979
RunStateEnd,993
RightMoveStart,1005
JumpEnd,1011
JumpStart,1012
RunStateStart,1013
RunStateEnd,1023
JumpEnd,1028
LeftMoveStart,1039
RightMoveEnd,1044
BlockCoinDestroyBulletBill,1046
JumpStart,1046
RightMoveStart,1054
JumpEnd,1056
JumpStart,1067
LeftMoveStart,1069
