Event,Time
LittleStateStart,0
StartLevel,0
RightMoveStart,97
JumpStart,107
LeftMoveStart,115
JumpEnd,119
RightMoveStart,127
JumpStart,135
JumpEnd,151
BlockCoinDestroy,161
JumpStart,176
JumpEnd,184
BlockPowerDestroy,185
JumpStart,200
JumpEnd,208
RightMoveEnd,220
LeftMoveStart,241
RunStateStart,253
LittleStateEnd,254
RunStateEnd,255
LeftMoveEnd,258
RightMoveEnd,270
LeftMoveStart,273
RightMoveStart,301
RightMoveStart,304
RunStateStart,309
RunStateEnd,313
BlockCoinDestroy,324
JumpStart,325
RightMoveEnd,325
LeftMoveStart,330
JumpEnd,331
LeftMoveEnd,332
JumpStart,340
JumpEnd,346
RightMoveStart,360
LeftMoveEnd,369
JumpStart,372
JumpEnd,381
LeftMoveStart,389
JumpStart,396
LeftMoveEnd,400
JumpEnd,414
LeftMoveStart,414
RightMoveStart,417
JumpStart,430
LeftMoveStart,431
LeftMoveEnd,441
RightMoveEnd,444
JumpEnd,446
LeftMoveStart,446
RightMoveStart,451
LeftMoveEnd,459
JumpStart,465
LeftMoveEnd,465
LeftMoveStart,468
LeftMoveEnd,470
RightMoveEnd,477
JumpEnd,481
LeftMoveStart,481
RightMoveEnd,487
RightMoveStart,487
LeftMoveEnd,496
LeftMoveEnd,498
RightMoveEnd,501
LeftMoveStart,510
JumpStart,519
JumpEnd,529
JumpStart,536
BlockCoinDestroy,540
RightMoveEnd,545
RightMoveStart,545
JumpEnd,552
RightMoveStart,554
JumpStart,556
JumpEnd,562
LeftMoveEnd,571
JumpStart,574
JumpEnd,589
JumpStart,605
RightMoveEnd,605
JumpEnd,617
JumpStart,621
StompKillGoomba,639
RightMoveStart,640
JumpEnd,641
RightMoveStart,642
RightMoveStart,644
JumpStart,645
RightMoveEnd,645
RightMoveStart,646
RightMoveEnd,647
RightMoveEnd,648
RightMoveStart,648
RightMoveEnd,649
RightMoveStart,650
RightMoveEnd,651
RightMoveStart,652
RightMoveEnd,653
RightMoveStart,654
RightMoveEnd,655
RightMoveEnd,657
RightMoveStart,660
RightMoveStart,662
RightMoveStart,664
RightMoveEnd,665
RightMoveStart,666
RightMoveEnd,667
RightMoveEnd,667
RightMoveStart,668
RightMoveEnd,669
JumpEnd,670
RightMoveStart,670
RightMoveEnd,671
JumpStart,672
RightMoveStart,672
RightMoveEnd,673
RightMoveStart,674
RightMoveEnd,675
RightMoveStart,676
RightMoveEnd,677
RightMoveStart,678
RightMoveEnd,679
RightMoveStart,680
RightMoveEnd,681
JumpEnd,682
JumpStart,690
JumpEnd,710
JumpStart,714
RightMoveStart,721
RightMoveEnd,722
JumpEnd,724
RightMoveEnd,727
JumpStart,759
JumpEnd,775
JumpStart,811
JumpEnd,827
JumpStart,830
JumpEnd,840
LeftMoveStart,869
StompKillGreenKoopa,882
JumpStart,885
RightMoveStart,890
UnleashShell,892
RightMoveStart,901
RightMoveStart,903
RightMoveStart,905
RightMoveEnd,906
RightMoveStart,907
RightMoveEnd,908
RightMoveEnd,909
RightMoveStart,909
RightMoveEnd,910
RightMoveEnd,913
JumpEnd,916
LeftMoveStart,933
RightMoveEnd,934
RightMoveStart,945
RightMoveStart,955
RightMoveEnd,983
LeftMoveEnd,1008
JumpStart,1013
StompKillGoomba,1015
JumpEnd,1023
StompKillGoomba,1024
JumpStart,1063
RightMoveEnd,1069
JumpEnd,1075
JumpStart,1081
RightMoveStart,1087
RightMoveEnd,1088
JumpEnd,1093
JumpStart,1095
JumpEnd,1111
JumpStart,1127
JumpEnd,1139
JumpStart,1143
RightMoveStart,1151
JumpEnd,1155
JumpStart,1159
JumpEnd,1176
JumpStart,1189
JumpEnd,1201
LeftMoveStart,1217
JumpStart,1227
JumpEnd,1240
RightMoveStart,1246
LeftMoveEnd,1248
JumpStart,1252
JumpEnd,1266
RightMoveEnd,1273
RightMoveEnd,1280
JumpStart,1290
JumpEnd,1305
RightMoveStart,1306
JumpStart,1307
RightMoveStart,1308
RightMoveStart,1310
RightMoveEnd,1311
JumpEnd,1321
JumpStart,1322
RightMoveStart,1323
RightMoveEnd,1324
RightMoveStart,1325
JumpEnd,1334
JumpStart,1337
RightMoveEnd,1337
RightMoveStart,1338
RightMoveEnd,1339
RightMoveStart,1340
JumpEnd,1349
RightMoveEnd,1352
JumpStart,1354
RightMoveEnd,1354
RightMoveStart,1362
JumpEnd,1366
RightMoveEnd,1367
RightMoveStart,1373
RightMoveEnd,1393
RightMoveEnd,1400
JumpStart,1408
JumpEnd,1418
RightMoveEnd,1420
LeftMoveEnd,1526
LargeStateStart,1690
RightMoveStart,2846
LargeStateEnd,2854
RightMoveEnd,2891
WonLevel,3810
